Nifty 50,NIFTY
DR. LAL PATH LABS LTD.,LALPATHLAB
LAURUS LABS LIMITED,LAURUSLABS
LIC HOUSING FINANCE LIMITED,LICHSGFIN
LARSEN & TOUBRO LIMITED,LT
LARSEN & TOUBRO INFOTECH LIMITED,LTI
L&T TECHNOLOGY SERVICES LIMITED,LTTS
LUPIN LIMITED,LUPIN
MAHINDRA & MAHINDRA LIMITED,M&M
MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,M&MFIN
MANAPPURAM FINANCE LIMITED,MANAPPURAM
MARICO LIMITED,MARICO
MARUTI SUZUKI INDIA LIMITED,MARUTI
UNITED SPIRITS LIMITED,MCDOWELL-N
MULTI COMMODITY EXCHANGE OF INDIA LIMITED,MCX
METROPOLIS HEALTHCARE LIMITED,METROPOLIS
MAX FINANCIAL SERVICES LIMITED,MFSL
MAHANAGAR GAS LIMITED,MGL
MINDTREE LIMITED,MINDTREE
MOTHERSON SUMI SYSTEMS LIMITED,MOTHERSUMI
MPHASIS LIMITED,MPHASIS
MRF LIMITED,MRF
MUTHOOT FINANCE LIMITED,MUTHOOTFIN
NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,NAM-INDIA
NATIONAL ALUMINIUM COMPANY LIMITED,NATIONALUM
INFO EDGE (INDIA) LIMITED,NAUKRI
NAVIN FLUORINE INTERNATIONAL LIMITED,NAVINFLUOR
NBCC (INDIA) LIMITED,NBCC
NESTLE INDIA LIMITED,NESTLEIND
NMDC LIMITED,NMDC
NTPC LIMITED,NTPC
OBEROI REALTY LIMITED,OBEROIRLTY
ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,OFSS
OIL & NATURAL GAS CORPORATION LIMITED,ONGC
PAGE INDUSTRIES LIMITED,PAGEIND
PIRAMAL ENTERPRISES LIMITED,PEL
PERSISTENT SYSTEMS LIMITED,PERSISTENT
PETRONET LNG LIMITED,PETRONET
POWER FINANCE CORPORATION LIMITED,PFC
PFIZER LIMITED,PFIZER
PIDILITE INDUSTRIES LIMITED,PIDILITIND
PI INDUSTRIES LIMITED,PIIND
PUNJAB NATIONAL BANK,PNB
POLYCAB INDIA LIMITED,POLYCAB
POWER GRID CORPORATION OF INDIA LIMITED,POWERGRID
PVR LIMITED,PVR
RAIN INDUSTRIES LIMITED,RAIN
THE RAMCO CEMENTS LIMITED,RAMCOCEM
RBL BANK LIMITED,RBLBANK
REC LIMITED,RECLTD
RELIANCE INDUSTRIES LIMITED,RELIANCE
STEEL AUTHORITY OF INDIA LIMITED,SAIL
SBI CARDS AND PAYMENT SERVICES LIMITED,SBICARD
SBI LIFE INSURANCE COMPANY LIMITED,SBILIFE
STATE BANK OF INDIA,SBIN
SHREE CEMENT LIMITED,SHREECEM
SIEMENS LIMITED,SIEMENS
SRF LIMITED,SRF
SHRIRAM TRANSPORT FINANCE COMPANY LIMITED,SRTRANSFIN
STRIDES PHARMA SCIENCE LIMITED,STAR
SUN PHARMACEUTICAL INDUSTRIES LIMITED,SUNPHARMA
SUN TV NETWORK LIMITED,SUNTV
SYNGENE INTERNATIONAL LIMITED,SYNGENE
TATA CHEMICALS LIMITED,TATACHEM
TATA COMMUNICATIONS LIMITED,TATACOMM
TATA CONSUMER PRODUCTS LIMITED,TATACONSUM
TATA MOTORS LIMITED,TATAMOTORS
TATA POWER COMPANY LIMITED,TATAPOWER
TATA STEEL LIMITED,TATASTEEL
TATA CONSULTANCY SERVICES LIMITED,TCS
TECH MAHINDRA LIMITED,TECHM
TITAN COMPANY LIMITED,TITAN
TORRENT PHARMACEUTICALS LIMITED,TORNTPHARM
TORRENT POWER LIMITED,TORNTPOWER
TRENT LIMITED,TRENT
TVS MOTOR COMPANY LIMITED,TVSMOTOR
UNITED BREWERIES LIMITED,UBL
ULTRATECH CEMENT LIMITED,ULTRACEMCO
UPL LIMITED,UPL
VEDANTA LIMITED,VEDL
VOLTAS LIMITED,VOLTAS
WHIRLPOOL OF INDIA LIMITED,WHIRLPOOL
WIPRO LIMITED,WIPRO
ZEE ENTERTAINMENT ENTERPRISES LIMITED,ZEEL
ZYDUS LIFESCIENCES LIMITED,ZYDUSLIFE
